Family;ScientificName;Author;Collector;centroid_Longitude;centroid_Latitude;Elevation;Date;Location;Description;Herbarium;wfoMeta_scientificName;wfoMeta_family;wfoMeta_majorGroup;wfoMeta_wfoID;wfoMeta_rank;wfoMeta_status;wfoMeta_author;gbifOccurrenceCheck;popup;spaced_Longitude;spaced_Latitude;Source;Page;rid
Annonaceae;Uvaria littoralis;(Blume) Blume;H.Balslev 10146;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall.;NA;Aarhus;Uvaria littoralis;Annonaceae;Angiosperm;wfo-0000416343;species;Accepted;Blume;TRUE;"<ul>
	<li>Species  : <i>Uvaria littoralis</i> Blume</li>
	<li>Family   : Annonaceae</li>
	<li>Author   : (Blume) Blume</li>
	<li>Elevation: 26</li>
	<li>Date     : 2022-07-06</li>
	<li>Source   : AAU</li>
</ul>";102,326944444444;11,9827777777778;NA;NA;11
Annonaceae;Uvaria micrantha;(A. Dc.) Hook. f. & Thomson;H.Balslev 10144;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;NA;Aarhus;Uvaria micrantha;Annonaceae;Angiosperm;wfo-0000416484;species;Accepted;Hook.f. & Thomson;TRUE;"<ul>
	<li>Species  : <i>Uvaria micrantha</i> Hook.f. & Thomson</li>
	<li>Family   : Annonaceae</li>
	<li>Author   : (A. Dc.) Hook. f. & Thomson</li>
	<li>Elevation: 26</li>
	<li>Date     : 2022-07-06</li>
	<li>Source   : AAU</li>
</ul>";102,326944444444;11,9827777777778;NA;NA;12
Apocynaceae;Cryptolepis sinensis;(Lour.) Merr.;H.Balslev 10125;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road. Tropical wet forest.;NA;Aarhus;Cryptolepis sinensis;Apocynaceae;Angiosperm;wfo-0000628388;species;Accepted;(Lour.) Merr.;TRUE;"<ul>
	<li>Species  : <i>Cryptolepis sinensis</i> (Lour.) Merr.</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : (Lour.) Merr.</li>
	<li>Elevation: 46</li>
	<li>Date     : 2022-07-05</li>
	<li>Source   : AAU</li>
</ul>";102,276111111111;12,0936111111111;NA;NA;13
Apocynaceae;Pottsia laxiflora;(Blume) Kuntze;H.Balslev 10149;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;NA;Aarhus;Pottsia laxiflora;Apocynaceae;Angiosperm;wfo-0000281492;species;Accepted;Kuntze;TRUE;"<ul>
	<li>Species  : <i>Pottsia laxiflora</i> Kuntze</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : (Blume) Kuntze</li>
	<li>Elevation: 26</li>
	<li>Date     : 2022-07-06</li>
	<li>Source   : AAU</li>
</ul>";102,326944444444;11,9827777777778;NA;NA;14
Apocynaceae;Spirolobium cambodianum;Baill.;H.Balslev 10232;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;NA;Aarhus;Spirolobium cambodianum;Apocynaceae;Angiosperm;wfo-0000313531;species;Accepted;Baill.;TRUE;"<ul>
	<li>Species  : <i>Spirolobium cambodianum</i> Baill.</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : Baill.</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-07-12</li>
	<li>Source   : AAU</li>
</ul>";102,422222222222;11,9669444444444;NA;NA;15
Apocynaceae;Tabernemontana;Scop.;H.Balslev 10263;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;NA;Aarhus;Tabernaemontana;Apocynaceae;Angiosperm;wfo-4000037395;genus;Accepted;L.;TRUE;"<ul>
	<li>Species  : <i>Tabernaemontana</i> L.</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : Scop.</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,293611111111;12,0650000000000;NA;NA;16
Araceae;Aglaonema simplex;Bl.;H.Balslev 10150;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;NA;Aarhus;Aglaonema simplex;Araceae;Angiosperm;wfo-0000924583;species;Accepted;Blume;TRUE;"<ul>
	<li>Species  : <i>Aglaonema simplex</i> Blume</li>
	<li>Family   : Araceae</li>
	<li>Author   : Bl.</li>
	<li>Elevation: 26</li>
	<li>Date     : 2022-07-06</li>
	<li>Source   : AAU</li>
</ul>";102,326944444444;11,9827777777778;NA;NA;17
Araceae;Aglaonema simplex;Bl.;H.Balslev 10257;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;NA;Aarhus;Aglaonema simplex;Araceae;Angiosperm;wfo-0000924583;species;Accepted;Blume;TRUE;"<ul>
	<li>Species  : <i>Aglaonema simplex</i> Blume</li>
	<li>Family   : Araceae</li>
	<li>Author   : Bl.</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,293611111111;12,0650000000000;NA;NA;18
Araceae;Alocasia longiloba;Miq.;H.Balslev 10661;102,308611111111;12,0619444444444;30;2022-10-20;Trail to the south from Khlong Phlu ranger station of Koh Chang N.P. Tropical rainforest.;NA;Aarhus;Alocasia longiloba;Araceae;Angiosperm;wfo-0000949355;species;Accepted;Miq.;TRUE;"<ul>
	<li>Species  : <i>Alocasia longiloba</i> Miq.</li>
	<li>Family   : Araceae</li>
	<li>Author   : Miq.</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,308611111111;12,0619444444444;NA;NA;19
Araceae;Pseudodracontium harmandii;Engl.;H.Balslev 10099;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;NA;Aarhus;Amorphophallus flotoi;Araceae;Angiosperm;wfo-0001424000;species;Accepted;(S.Y.Hu) Govaerts;TRUE;"<ul>
	<li>Species  : <i>Amorphophallus flotoi</i> (S.Y.Hu) Govaerts</li>
	<li>Family   : Araceae</li>
	<li>Author   : Engl.</li>
	<li>Elevation: 50</li>
	<li>Date     : 2022-07-03</li>
	<li>Source   : AAU</li>
</ul>";102,310833333333;12,0625000000000;NA;NA;20
Arecaceae;Areca triandra;Roxb.;H.Balslev 10101;102,310833333333;12,0625000000000;50;2022-07-04;Klong Plu waterfall nature trail. Tropical wet forest along stream.;NA;Aarhus;Areca triandra;Arecaceae;Angiosperm;wfo-0000263352;species;Accepted;Roxb. ex Buch.-Ham.;TRUE;"<ul>
	<li>Species  : <i>Areca triandra</i> Roxb. ex Buch.-Ham.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : Roxb.</li>
	<li>Elevation: 50</li>
	<li>Date     : 2022-07-04</li>
	<li>Source   : AAU</li>
</ul>";102,310833333333;12,0625000000000;NA;NA;21
Arecaceae;Calamus;NA;H.Balslev 10117;102,290000000000;12,0127777777778;10;2022-07-04;costal road along south side at Siam Bay Resort. Tropical wet forest to 40 m tall, dense understory.;NA;Aarhus;Calamus;Arecaceae;Angiosperm;wfo-4000005953;genus;Accepted;L.;TRUE;"<ul>
	<li>Species  : <i>Calamus</i> L.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : NA</li>
	<li>Elevation: 10</li>
	<li>Date     : 2022-07-04</li>
	<li>Source   : AAU</li>
</ul>";102,290000000000;12,0127777777778;NA;NA;22
Arecaceae;Calamus;NA;H.Balslev 10127;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road. Tropical wet forest.;NA;Aarhus;Calamus;Arecaceae;Angiosperm;wfo-4000005953;genus;Accepted;L.;TRUE;"<ul>
	<li>Species  : <i>Calamus</i> L.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : NA</li>
	<li>Elevation: 46</li>
	<li>Date     : 2022-07-05</li>
	<li>Source   : AAU</li>
</ul>";102,276111111111;12,0936111111111;NA;NA;23
Arecaceae;Calamus rudentum;Lour.;H.Balslev 10770;102,385555555556;12,0294444444444;NA;2022-10-23;eastern perimeter road at Spa Koh Chang Resort. Disturbed roadside in wet tropical forest.;NA;Aarhus;Calamus rudentum;Arecaceae;Angiosperm;wfo-0000759895;species;Accepted;Lour.;TRUE;"<ul>
	<li>Species  : <i>Calamus rudentum</i> Lour.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : Lour.</li>
	<li>Elevation: NA</li>
	<li>Date     : 2022-10-23</li>
	<li>Source   : AAU</li>
</ul>";102,385555555556;12,0294444444444;NA;NA;24
Arecaceae;Calamus viminalis;Willd.;H.Balslev 10199;102,385833333333;12,0422222222222;0;2022-07-10;perimeter road along north-eastern side of island. Plantation area with mostly coconut plantation.;NA;Aarhus;Calamus viminalis;Arecaceae;Angiosperm;wfo-0000761041;species;Accepted;Willd.;TRUE;"<ul>
	<li>Species  : <i>Calamus viminalis</i> Willd.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : Willd.</li>
	<li>Elevation: 0</li>
	<li>Date     : 2022-07-10</li>
	<li>Source   : AAU</li>
</ul>";102,385833333333;12,0422222222222;NA;NA;25
Arecaceae;Copernicia;NA;H.Balslev 10728;102,392222222222;12,0236111111111;0;2022-10-22;Salak Kok village in the mangrove in SE corner of island. Village on poles in mangrove with tourist facilities.;NA;Aarhus;Copernicia;Arecaceae;Angiosperm;wfo-4000009222;genus;Accepted;Mart. ex Endl.;TRUE;"<ul>
	<li>Species  : <i>Copernicia</i> Mart. ex Endl.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : NA</li>
	<li>Elevation: 0</li>
	<li>Date     : 2022-10-22</li>
	<li>Source   : AAU</li>
</ul>";102,392222222222;12,0236111111111;NA;NA;26
Arecaceae;Daemonorops jenkinsiana;(Griff.) Mart.;H.Balslev 10212;102,385555555556;12,0297222222222;27;2022-07-11;north-eastern perimeter rd. at Salak Kok village. Secondary scrub along road.;NA;Aarhus;Calamus jenkinsianus;Arecaceae;Angiosperm;wfo-0000756809;species;Accepted;Griff.;TRUE;"<ul>
	<li>Species  : <i>Calamus jenkinsianus</i> Griff.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : (Griff.) Mart.</li>
	<li>Elevation: 27</li>
	<li>Date     : 2022-07-11</li>
	<li>Source   : AAU</li>
</ul>";102,385555555556;12,0297222222222;NA;NA;27
Arecaceae;Licuala spinosa;Thunb.;H.Balslev 10698;102,422500000000;11,9647222222222;10;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island. Near beach.;NA;Aarhus;Licuala spinosa;Arecaceae;Angiosperm;wfo-0000227549;species;Accepted;Thunb.;TRUE;"<ul>
	<li>Species  : <i>Licuala spinosa</i> Thunb.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : Thunb.</li>
	<li>Elevation: 10</li>
	<li>Date     : 2022-10-21</li>
	<li>Source   : AAU</li>
</ul>";102,422500000000;11,9647222222222;NA;NA;28
Arecaceae;Plectocomia pierreana;Becc.;H.Balslev 10211;102,385555555556;12,0297222222222;27;2022-07-11;north-eastern perimeter rd. at Salak Kok village. Secondary scrub along road.;NA;Aarhus;Plectocomia pierreana;Arecaceae;Angiosperm;wfo-0000275175;species;Accepted;Becc.;TRUE;"<ul>
	<li>Species  : <i>Plectocomia pierreana</i> Becc.</li>
	<li>Family   : Arecaceae</li>
	<li>Author   : Becc.</li>
	<li>Elevation: 27</li>
	<li>Date     : 2022-07-11</li>
	<li>Source   : AAU</li>
</ul>";102,385555555556;12,0297222222222;NA;NA;29
Aristolochiaceae;Aristolochia pierrei;Lec.;P.Chataranothais.n. AAURefNo2868;NA;NA;NA;2005-03-25;Dry evergreen forest.;NA;Aarhus;Aristolochia pierrei;Aristolochiaceae;Angiosperm;wfo-0000548202;species;Accepted;Lecomte;TRUE;"<ul>
	<li>Species  : <i>Aristolochia pierrei</i> Lecomte</li>
	<li>Family   : Aristolochiaceae</li>
	<li>Author   : Lec.</li>
	<li>Elevation: NA</li>
	<li>Date     : 2005-03-25</li>
	<li>Source   : AAU</li>
</ul>";NA;NA;NA;NA;30
Aristolochiaceae;Aristolochia tagala;Cham.;H.Balslev 10768;102,382500000000;12,0227777777778;20;2022-10-23;Perimeter road south east. Near large shrimp farm.;NA;Aarhus;Aristolochia acuminata;Aristolochiaceae;Angiosperm;wfo-0000547501;species;Accepted;Lam.;TRUE;"<ul>
	<li>Species  : <i>Aristolochia acuminata</i> Lam.</li>
	<li>Family   : Aristolochiaceae</li>
	<li>Author   : Cham.</li>
	<li>Elevation: 20</li>
	<li>Date     : 2022-10-23</li>
	<li>Source   : AAU</li>
</ul>";102,382500000000;12,0227777777778;NA;NA;31
Asclepiadaceae;Dischidia major;(Vahl) Merr.;C.F.v.Beusekom 3153;NA;NA;NA;1970-03-10;South-Eastern. Prov. Trat. Loc.: Koh Chang I. Alt. low.;NA;Aarhus;Dischidia major;Apocynaceae;Angiosperm;wfo-0000651699;species;Accepted;(Vahl) Merr.;TRUE;"<ul>
	<li>Species  : <i>Dischidia major</i> (Vahl) Merr.</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : (Vahl) Merr.</li>
	<li>Elevation: NA</li>
	<li>Date     : 1970-03-10</li>
	<li>Source   : AAU</li>
</ul>";NA;NA;NA;NA;32
Asclepiadaceae;Hoya verticillata;(Vahl) G. Don;H.Balslev 10103;102,310833333333;12,0625000000000;50;2022-07-04;Klong Plu waterfall nature trail. Tropical wet forest along stream.;NA;Aarhus;Hoya verticillata;Apocynaceae;Angiosperm;wfo-0001102114;species;Accepted;(Vahl) G.Don;TRUE;"<ul>
	<li>Species  : <i>Hoya verticillata</i> (Vahl) G.Don</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : (Vahl) G. Don</li>
	<li>Elevation: 50</li>
	<li>Date     : 2022-07-04</li>
	<li>Source   : AAU</li>
</ul>";102,310833333333;12,0625000000000;NA;NA;33
Asclepiadaceae;Secamone;NA;H.Balslev 10108;102,294166666667;12,0341666666667;35;2022-07-04;western perimeter road, side road around Ban Kai Bae. Road cuts in humid tropical forest.;NA;Aarhus;Secamone;Apocynaceae;Angiosperm;wfo-4000034916;genus;Accepted;R.Br.;TRUE;"<ul>
	<li>Species  : <i>Secamone</i> R.Br.</li>
	<li>Family   : Apocynaceae</li>
	<li>Author   : NA</li>
	<li>Elevation: 35</li>
	<li>Date     : 2022-07-04</li>
	<li>Source   : AAU</li>
</ul>";102,294166666667;12,0341666666667;NA;NA;34
Aspleniaceae;Amblovenatum decorum;(Domin) S.Linds. & D.J.Middleton;H.Balslev 10114;102,290000000000;12,0127777777778;10;2022-07-04;costal road along south side at Siam Bay Resort. Tropical wet forest to 40 m tall, dense understory.;NA;Aarhus;Amblovenatum decorum;Thelypteridaceae;Pteridophytes;wfo-1000025438;species;Unchecked;(Domin) S.Linds. & D.J.Middleton;TRUE;"<ul>
	<li>Species  : <i>Amblovenatum decorum</i> (Domin) S.Linds. & D.J.Middleton</li>
	<li>Family   : Thelypteridaceae</li>
	<li>Author   : (Domin) S.Linds. & D.J.Middleton</li>
	<li>Elevation: 10</li>
	<li>Date     : 2022-07-04</li>
	<li>Source   : AAU</li>
</ul>";102,290000000000;12,0127777777778;NA;NA;35
Aspleniaceae;Amblovenatum decorum;(Domin) S.Linds. & D.J.Middleton;H.Balslev 10664;102,308611111111;12,0619444444444;30;2022-10-20;Trail to the south from Khlong Phlu ranger station of Koh Chang N.P. Tropical rainforest.;NA;Aarhus;Amblovenatum decorum;Thelypteridaceae;Pteridophytes;wfo-1000025438;species;Unchecked;(Domin) S.Linds. & D.J.Middleton;TRUE;"<ul>
	<li>Species  : <i>Amblovenatum decorum</i> (Domin) S.Linds. & D.J.Middleton</li>
	<li>Family   : Thelypteridaceae</li>
	<li>Author   : (Domin) S.Linds. & D.J.Middleton</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,308611111111;12,0619444444444;NA;NA;36
Asteraceae;Ageratum conyzoides;L.;H.Balslev 10260;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;NA;Aarhus;Ageratum conyzoides;Asteraceae;Angiosperm;wfo-0000014938;species;Accepted;L.;TRUE;"<ul>
	<li>Species  : <i>Ageratum conyzoides</i> L.</li>
	<li>Family   : Asteraceae</li>
	<li>Author   : L.</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,293611111111;12,0650000000000;NA;NA;37
Asteraceae;Blumea clarkei;Hook.f.;P.Pornpongrungrueng 517;NA;NA;NA;2005-12-24;Trat. Koh Chang.;NA;Aarhus;Blumea hirsuta;Asteraceae;Angiosperm;wfo-0000125203;species;Accepted;(Less.) M.R.Almeida;FALSE;"<ul>
	<li>Species  : <i>Blumea hirsuta</i> (Less.) M.R.Almeida</li>
	<li>Family   : Asteraceae</li>
	<li>Author   : Hook.f.</li>
	<li>Elevation: NA</li>
	<li>Date     : 2005-12-24</li>
	<li>Source   : AAU</li>
</ul>";NA;NA;NA;NA;38
Asteraceae;Blumea virens;Wall. ex. Dc.;P.Pornpongrungrueng 527;NA;NA;NA;2005-12-24;Trat. Koh Chang.;NA;Aarhus;Blumea virens;Asteraceae;Angiosperm;wfo-0000008474;species;Accepted;DC.;TRUE;"<ul>
	<li>Species  : <i>Blumea virens</i> DC.</li>
	<li>Family   : Asteraceae</li>
	<li>Author   : Wall. ex. Dc.</li>
	<li>Elevation: NA</li>
	<li>Date     : 2005-12-24</li>
	<li>Source   : AAU</li>
</ul>";NA;NA;NA;NA;39
Asteraceae;Emilia sonchifolia;(L.) Dc.;H.Balslev 10715;102,433611111111;11,9538888888889;1;2022-10-22;Memorial of the battle of Koh Chang. South east corner of island. Tropical forest, beach vegetation.;NA;Aarhus;Emilia sonchifolia;Asteraceae;Angiosperm;wfo-0000017704;species;Accepted;(L.) DC.;TRUE;"<ul>
	<li>Species  : <i>Emilia sonchifolia</i> (L.) DC.</li>
	<li>Family   : Asteraceae</li>
	<li>Author   : (L.) Dc.</li>
	<li>Elevation: 1</li>
	<li>Date     : 2022-10-22</li>
	<li>Source   : AAU</li>
</ul>";102,433611111111;11,9538888888889;NA;NA;40
Asteraceae;Praxelis clematidea;(Hieron. ex Kuntze) R.M.King & H.Rob.;H.Balslev 10259;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;NA;Aarhus;Praxelis clematidea;Asteraceae;Angiosperm;wfo-0000058157;species;Accepted;R.M.King & H.Rob.;TRUE;"<ul>
	<li>Species  : <i>Praxelis clematidea</i> R.M.King & H.Rob.</li>
	<li>Family   : Asteraceae</li>
	<li>Author   : (Hieron. ex Kuntze) R.M.King & H.Rob.</li>
	<li>Elevation: 30</li>
	<li>Date     : 2022-10-20</li>
	<li>Source   : AAU</li>
</ul>";102,293611111111;12,0650000000000;NA;NA;41
Asteraceae;Wollastonia biflora;(L.) Dc.;H.Balslev 10219;102,435555555556;11,9527777777778;0;2022-07-11;Huamong Bay, end of road. Beach vegetation.;NA;Aarhus;Wollastonia biflora;Asteraceae;Angiosperm;wfo-0000047628;species;Accepted;DC.;TRUE;"<ul>
	<li>Species  : <i>Wollastonia biflora</i> DC.</li>
	<li>Family   : Asteraceae</li>
	<li>Author   : (L.) Dc.</li>
	<li>Elevation: 0</li>
	<li>Date     : 2022-07-11</li>
	<li>Source   : AAU</li>
</ul>";102,435555555556;11,9527777777778;NA;NA;42
Begoniaceae;Begonia sinuata;Wall.;H.Balslev 10092;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;NA;Aarhus;Begonia sinuata;Begoniaceae;Angiosperm;wfo-0000825538;species;Accepted;Wall. ex Meisn.;TRUE;"<ul>
	<li>Species  : <i>Begonia sinuata</i> Wall. ex Meisn.</li>
	<li>Family   : Begoniaceae</li>
	<li>Author   : Wall.</li>
	<li>Elevation: 50</li>
	<li>Date     : 2022-07-03</li>
	<li>Source   : AAU</li>
</ul>";102,310833333333;12,0625000000000;NA;NA;43
Begoniaceae;Begonia sinuata;Wall.;J.F.Maxwell 73-326;NA;NA;NA;1973-08-02;Koh Chang Island.;NA;Aarhus;Begonia sinuata;Begoniaceae;Angiosperm;wfo-0000825538;species;Accepted;Wall. ex Meisn.;TRUE;"<ul>
	<li>Species  : <i>Begonia sinuata</i> Wall. ex Meisn.</li>
	<li>Family   : Begoniaceae</li>
	<li>Author   : Wall.</li>
	<li>Elevation: NA</li>
	<li>Date     : 1973-08-02</li>
	<li>Source   : AAU</li>
</ul>";NA;NA;NA;NA;44
